time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
235992,112661,-1.5796999999999997,0.05,2733,2,91.92,36855,0.0001,0.3976196557283401,,
236096,112690,-1.4384000000000003,0.05,2734,2,91.67,36870,0.0001,0.49196585416793825,,
236144,112707,-1.5963000000000003,0.05,2735,2,91.41,36880,0.0001,0.3934566706418991,,
236152,112717,-1.4174,0.05,2736,2,90.61,,,,,
236176,112730,-1.4402,0.05,2737,2,90.71,36885,0.0001,0.3562224119901657,,
236200,112745,-1.5972999999999997,0.05,2738,2,90.87,36890,0.0001,0.34253689348697663,,
236544,,,0.05,,,,36940,0.0001,0.4775388419628143,193.8,2.898
236600,112979,-1.3235999999999999,0.05,2739,2,92.86,36950,0.0001,0.5357935130596161,,
236600,112979,-1.3235999999999999,,2740,2,92.86,,,,,
236848,113035,-1.4711999999999998,0.05,2741,2,92.97,36990,0.0001,0.48038786053657534,,
236928,113060,-1.5195999999999996,0.05,2742,2,93.12,37000,0.0001,0.64761021733284,,
236944,113071,-1.4328999999999996,0.05,2743,2,93.28,37005,0.0001,0.5982674956321716,,
237000,113157,-1.3889000000000002,0.05,2744,2,93.28,37015,0.0001,0.5813877940177917,,
237000,113157,-1.3889000000000002,,2745,2,93.28,,,,,
237104,113180,-1.5060000000000002,0.05,2746,2,93.24,37030,0.0001,0.4553818583488464,,
237152,113196,-1.5622999999999998,0.05,2747,2,93.44,37035,0.0001,0.5031476855278015,,
237360,113250,-1.9173000000000002,0.05,2748,2,92.98,37070,0.0001,0.4797848880290985,,
237392,113264,-1.9882,0.05,2749,2,92.77,37075,0.0001,0.5546577632427215,,
237480,113287,-1.7584999999999997,0.05,2750,2,93.34,37090,0.0001,0.4895529568195343,,
237544,113304,-1.9770999999999999,0.05,2751,2,93.23,37100,0.0001,0.4606848180294037,,
237568,,,0.05,,,,,,,222.6,-1.972
237600,113445,-1.8329999999999997,0.05,2752,2,93.7,37105,0.0001,0.4375873625278473,,
237608,113514,-1.9113,0.05,2753,2,92.58,37110,0.0001,0.41071613430976867,,
237648,113527,-2.0058999999999996,0.05,2754,2,92.3,37115,0.0001,0.5131114840507507,,
237656,113536,-1.7992999999999997,0.05,2755,2,92.52,,,,,
238008,113603,-1.9472000000000003,0.05,2756,2,91.69,37170,0.0001,0.39355533123016356,,
238096,113625,-2.3299,0.05,2757,2,91.83,37185,0.0001,0.3914940357208252,,
238104,113701,-1.9263,0.05,2758,2,91.3,,,,,
238104,113701,-1.9263,,2759,2,91.3,,,,,
238168,113720,-1.652,0.05,2760,2,91.58,37195,0.0001,0.5262256175279617,,
238264,113748,-1.5575999999999997,0.05,2761,2,91.33,37210,0.0001,0.5570654392242431,,
238552,113793,-1.4491999999999998,0.05,2762,2,91.91,37255,0.0001,0.5352186799049378,,
238592,,,0.05,,,,37260,0.0001,0.5061371803283692,93.6,3.156
238664,113954,-1.4469,0.05,2763,2,92.1,37275,0.0001,0.759082168340683,,
238672,113964,-1.1884,0.05,2764,2,92.64,,,,,
238824,113999,-1.2076,0.05,2765,2,92.29,37300,0.0001,0.7318198382854462,,
238856,114012,-1.1749,0.05,2766,2,92.83,37305,0.0001,0.3876614809036255,,
238912,114028,-1.0699,0.05,2767,2,93.35,37310,0.0001,0.4099472761154175,,
239016,114056,-0.9412,0.05,2768,2,94.28,37330,0.0001,0.2773869276046753,,
239032,114067,-0.9519,0.05,2769,2,94.15,,,,,
239040,114077,-1.1038,0.05,2770,2,93.91,,,,,
239288,114129,-0.8845999999999999,0.05,2771,2,94.78,37370,0.0001,0.46088665425777436,,
239472,114163,-0.7597,0.05,2772,2,95.18,37400,0.0001,0.5810604274272919,,
239544,114187,-0.6680000000000001,0.05,2773,2,95.45,37410,0.0001,0.4874655544757843,,
239592,114205,-0.8100999999999999,0.05,2774,2,95.23,37420,0.0001,0.41161203384399414,,
239616,,,0.05,,,,,,,116.4,3.25
239616,114378,-1.0391,0.05,2775,2,95.08,,,,,
239752,114418,-1.0505000000000002,0.05,2776,2,95.38,37445,0.0001,0.6351737797260284,,
239832,114440,-0.7748000000000002,0.05,2777,2,95.84,37455,0.0001,0.3609208583831787,,
239912,114464,-0.9769,0.05,2778,2,95.63,37470,0.0001,0.3686820536851883,,
239960,114488,-1.1692999999999998,0.05,2779,2,95.31,37475,0.0001,0.6991592764854431,,
239960,114488,-1.1692999999999998,,2780,2,95.31,,,,,
240096,114526,-1.2862,0.05,2781,2,95.22,37495,0.0001,0.6273212611675263,,
