time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
,,153600,,,,0.05,0.0001,23980,0.3139984428882599,140.0,9.4
2,7.642199999999999,153696,99.4,63943,1313,0.05,0.0001,23995,0.31854722201824187,,
2,7.642199999999999,153696,99.4,63943,1314,,,,,,
2,7.4993,154056,99.08,63982,1315,0.05,0.0001,24055,0.259618753194809,,
2,7.5171,154208,97.88,64002,1316,0.05,0.0001,24075,0.2628958135843277,,
2,7.032400000000001,154224,97.24,64011,1317,0.05,0.0001,24080,0.23817868828773497,,
2,7.263900000000001,154296,97.08,64022,1318,0.05,0.0001,24090,0.36209993362426757,,
2,6.964100000000001,154320,98.0,64049,1319,0.05,0.0001,24095,0.21861964464187622,,
,,154624,,,,0.05,0.0001,24140,0.38169832825660704,67.8,12.428
2,7.104000000000001,154656,97.6,64357,1320,0.05,0.0001,24145,0.3247555136680603,,
2,6.579400000000001,154824,97.08,64396,1321,0.05,0.0001,24175,0.2061779320240021,,
2,6.324400000000002,154872,98.45,64407,1322,0.05,0.0001,24180,0.17183859050273895,,
2,5.984900000000001,154904,98.35,64418,1323,0.05,0.0001,24185,0.21195856034755706,,
2,5.9122,154984,98.45,64432,1324,0.05,0.0001,24200,0.31001904606819153,,
2,5.9808,155304,97.85,64465,1325,0.05,0.0001,24250,0.27989335656166076,,
2,5.7262,155352,99.44,64475,1326,0.05,0.0001,24255,0.2592523694038391,,
2,5.4743,155424,100.21,64489,1327,0.05,0.0001,24265,0.3340353608131409,,
2,5.601500000000002,155512,98.83,64504,1328,0.05,0.0001,24280,0.2257937252521515,,
2,5.540000000000001,155536,101.12,64513,1329,0.05,0.0001,24285,0.27764409184455874,,
2,5.158500000000001,155640,101.41,64530,1330,0.05,0.0001,24300,0.2743018686771393,,
,,155648,,,,,,,,66.4,-7.476000000000001
2,4.5978,155672,101.2,64774,1331,0.05,0.0001,24305,0.20612655580043793,,
2,4.5368,155816,100.9,64798,1332,0.05,0.0001,24330,0.25897763669490814,,
2,4.5368,155824,100.9,64866,1333,0.05,,,,,
2,4.3242,155912,101.36,64884,1334,0.05,0.0001,24345,0.23291320204734803,,
2,4.0947000000000005,155920,100.3,64969,1335,0.05,,,,,
2,3.8941999999999997,155928,99.53,65036,1336,0.05,,,,,
2,3.9297000000000004,156056,96.74,65058,1337,0.05,0.0001,24365,0.31027025878429415,,
2,4.1544,156144,97.42,65094,1338,0.05,0.0001,24380,0.27180629372596743,,
2,4.1168000000000005,156200,96.92,65108,1339,0.05,0.0001,24390,0.22005273699760436,,
2,4.215900000000001,156424,97.51,65148,1340,0.05,0.0001,24425,0.22759950459003447,,
2,4.3457,156432,96.87,65156,1341,0.05,,,,,
2,4.6316999999999995,156544,96.61,65179,1342,0.05,0.0001,24440,0.34671404361724856,,
2,4.9237,156552,96.27,65247,1343,0.05,0.0001,24445,0.2299497216939926,,
2,4.6469,156656,96.41,65268,1344,0.05,0.0001,24460,0.22542893886566162,,
,,156672,,,,0.05,,,,119.4,2.0460000000000003
2,4.847,157016,97.58,65493,1345,0.05,0.0001,24515,0.2951910734176636,,
2,5.1049,157072,97.47,65505,1346,0.05,0.0001,24525,0.3297197714447975,,
2,5.186,157080,96.38,65590,1347,0.05,,,,,
2,4.9096,157120,96.97,65601,1348,0.05,0.0001,24530,0.2917984902858734,,
2,4.8318,157144,96.0,65611,1349,0.05,0.0001,24535,0.24990993738174438,,
2,5.130199999999999,157168,96.01,65637,1350,0.05,0.0001,24540,0.278250914812088,,
2,5.130199999999999,157168,96.01,65637,1351,,,,,,
2,4.7763,157256,94.83,65653,1352,0.05,0.0001,24555,0.26341147124767306,,
2,4.5015,157328,93.81,65683,1353,0.05,0.0001,24565,0.36353262066841124,,
2,4.5638,157424,94.15,65698,1354,0.05,0.0001,24580,0.23760020434856416,,
2,4.3347999999999995,157536,92.65,65733,1355,0.05,0.0001,24595,0.2058041661977768,,
,,157696,,,,0.05,0.0001,24620,0.27563150227069855,197.4,12.578
2,4.4304,157808,92.67,66042,1356,0.05,0.0001,24640,0.2593833178281784,,
2,4.283799999999999,157840,92.27,66052,1357,0.05,0.0001,24645,0.2611300855875015,,
2,4.2222,157928,93.09,66067,1358,0.05,0.0001,24660,0.29864935874938964,,
2,4.0716,157976,93.31,66077,1359,0.05,0.0001,24665,0.2003796860575676,,
2,3.5921999999999996,158024,92.7,66089,1360,0.05,0.0001,24675,0.3930269330739975,,
2,3.967799999999999,158096,93.44,66104,1361,0.05,0.0001,24685,0.25268263220787046,,
2,3.6430999999999996,158160,93.03,66118,1362,0.05,0.0001,24695,0.3010017663240433,,
2,3.6429999999999993,158392,94.23,66160,1363,0.05,0.0001,24730,0.2076481729745865,,
2,4.0087,158520,94.13,66175,1364,0.05,0.0001,24750,0.23552648574113846,,
2,3.7208000000000006,158528,93.43,66260,1365,0.05,,,,,
2,3.662,158536,93.62,66267,1366,0.05,0.0001,24755,0.22233049273490907,,
,,158720,,,,0.05,0.0001,24780,0.23302109241485597,131.6,6.564
2,3.6581000000000006,158928,93.67,66521,1367,0.05,0.0001,24815,0.2174701601266861,,
2,3.4996000000000005,158976,93.69,66530,1368,0.05,0.0001,24820,0.24689392745494843,,
2,3.5162000000000013,159120,94.96,66545,1369,0.05,0.0001,24845,0.22180863916873933,,
2,3.7756,159152,95.9,66553,1370,0.05,0.0001,24850,0.27600356936454773,,
2,4.0037,159192,95.61,66561,1371,0.05,0.0001,24855,0.21236204355955124,,
2,4.2018,159200,96.86,66586,1372,0.05,,,,,
2,4.5032000000000005,159656,97.21,66622,1373,0.05,0.0001,24930,0.21819971352815629,,
,,159744,,,,0.05,0.0001,24940,0.26855239272117615,169.2,24.282
2,4.7094,159784,97.23,66881,1374,0.05,0.0001,24950,0.25195626318454745,,
2,4.6318,159808,98.82,66891,1375,0.05,,,,,
2,4.7913,159936,99.01,66907,1376,0.05,0.0001,24970,0.4108064234256744,,
2,4.503299999999999,160056,99.27,66925,1377,0.05,0.0001,24990,0.2828338235616684,,
2,4.189299999999999,160064,99.36,66934,1378,0.05,,,,,
2,4.524799999999999,160136,100.52,66947,1379,0.05,0.0001,25005,0.24227140247821807,,
2,4.4288,160296,101.12,66966,1380,0.05,0.0001,25030,0.2575921356678009,,
2,4.332199999999999,160304,100.24,67034,1381,0.05,,,,,
2,3.9886999999999997,160512,100.62,67058,1382,0.05,0.0001,25060,0.24708429872989654,,
2,3.9886999999999997,160512,100.62,67058,1383,,,,,,
